ID,Gloss,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
50_day,day,1260,DAY (24 HOURS),dia
51_devil,devil,1973,DEMON,Diabo
52_die,die,1494,DIE,morrer
53_dig,dig,1418,DIG,cavar
54_dirty,dirty,1230,DIRTY,sujo
55_dog,dog,2009,DOG,cachorro
56_drink,drink,1401,DRINK,beber
57_dry,dry,1398,DRY,seco
58_dust,dust,2,DUST,poeira
59_ear,ear,1247,EAR,orelha
60_earth,earth,1228,EARTH (SOIL),terra
61_eat,eat,1336,EAT,comer
62_egg,egg,744,EGG,ovo
63_eye,eye,1248,EYE,olho
64_fall,fall,1280,FALL,cair
65_far,far,1406,FAR,longe
66_grease,grease,323,FAT (ORGANIC SUBSTANCE),gordura
67_father,father,1217,FATHER,pai
68_afraid,afraid,1419,FEAR (BE AFRAID),ter medo
69_feather,feather,1201,FEATHER,pena
70_few,few,1242,FEW,poucos
71_field,field,212,FIELD,roça
72_fight,fight,1423,FIGHT,lutar
73_nail,nail,1896,FINGERNAIL OR TOENAIL,unha
74_fire,fire,221,FIRE,fogo
75_fish,fish,227,FISH,peixe
76_fishv,fish (v),2638,FISHING,Pescar
77_five,five,493,FIVE,cinco
78_meat,meat,2615,FLESH OR MEAT,carne
79_float,float,1574,FLOAT,fllutuar
80_flower,flower,239,FLOWER,flor
81_fly,fly,1441,FLY (MOVE THROUGH AIR),voar
82_fog,fog,249,FOG,neblina
83_foot,foot,1301,FOOT,pé
84_jungle,jungle,420,FOREST,selva
85_four,four,1500,FOUR,quatro
86_fruit,fruit,1507,FRUIT,fruta
87_full,full,1429,FULL,cheio
88_fur,fur,580,FUR,pelo
89_girl,girl,1646,GIRL,Menina
90_give,give,1447,GIVE,dar
91_go,go,695,GO,ir
92_good,good,1035,GOOD,bom
93_herbgrass,"herb, grass",606,GRASS,"erva, capim"
94_green,green,1425,GREEN,verde
95_guts,guts,1334,GUTS,tripa
96_hair,hair,2648,HAIR (HEAD),cabelo
97_hammock,hammock,2019,HAMMOCK,rede
98_hand,hand,1277,HAND,mão
99_head,head,1256,HEAD,cabeça
100_louse,louse,310,HEAD LOUSE,piolho
101_hear,hear,1408,HEAR,ouvir
102_heart,heart,1223,HEART,coração
103_heavy,heavy,1210,HEAVY,pesado
104_here,here,136,HERE,aqui
105_hit,hit,1433,HIT,bater
106_hold,hold,1448,HOLD,segurar
107_horn,horn,1393,HORN (ANATOMY),chifre
108_hot,hot,2272,HOT OR WARM,quente
109_how,how,1239,HOW,como
110_hunt,hunt,1435,HUNT,caçar
111_husband,husband,1200,HUSBAND,marido
112_i,i,1209,I,eu
113_homeathome,home (at home),1460,IN,em casa
114_in,in,1460,IN,em
115_inside,inside,1606,INSIDE,dentro
116_jaguar,jaguar,1250,JAGUAR,onça
117_kill,kill,1417,KILL,matar
118_knee,knee,1371,KNEE,joelho
119_know,know,1410,KNOW (SOMETHING),saber
120_lake,lake,624,LAKE,lago
121_tapuru,tapuru,2640,LARVA,tapuru
122_leaf,leaf,628,LEAF,folha
123_left,left,244,LEFT,esquerdo
124_leg,leg,1297,LEG,perna
125_lying,lying,215,LIE DOWN,deitado
126_lightv,light (v),737,LIGHT (IGNITE),acender
127_lips,lips,478,LIP,lábios
128_liver,liver,1224,LIVER,fígado
129_long,long,1203,LONG,comprido
130_man,man,1554,MAN,homem
131_many,many,1198,MANY,muitos
132_milk,milk,635,MILK,leite
133_moon,moon,1313,MOON,lua
134_morning,morning,1339,MORNING,manhã
135_mother,mother,1216,MOTHER,mãe
136_mountain,mountain,639,MOUNTAIN,serra
137_mouth,mouth,674,MOUTH,boca
