ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source
Aha,Aha,curr1243,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Granadillo2006
Dzawinai,Dzawinai,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Ehe,Ehe,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Granadillo2006
Hohoodene,Hohoodene,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Kowaidakenai,Kowaidakenai,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Kumadene1,Kumadene_1,tari1256,,,,,,,,Silva1961
Kumadene2,Kumadene_2,curr1243,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Mauliene,Mauliene,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Moliwene,Moliwene,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Name,Ñame,curr1243,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Granadillo2006
Oho,Oho,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Granadillo2006
Tariana,Tariana,tari1256,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Waliperi,Waliperi,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
Werekena,Werekena,ware1257,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan,Silva1961
