doculect	Glottocode_lang	Sources
Kumadene 1	tari1256	silva 1961
Kumadene 2	curr1243	silva 1961
Waliperi	bani1255	silva 1961
Hohoodene	bani1255	silva 1961
Kowaidakenai	bani1255	silva 1961
Dzawinai	bani1255	silva 1961
Moliwene	bani1255	silva 1961
Mauliene	bani1255	silva 1961
Werekena	ware1257	silva 1961
Tariana	tari1256	silva 1961
Ehe	bani1255 	granadillo 2006
Oho	bani1255	granadillo 2006
Aha	curr1243	granadillo 2006
Name	curr1243	granadillo 2006
